sensor_id,trip_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon
ACC001,TRIP001,2024-02-06 06:45:00,0,0.2,0.1,9.8,0,19.1334,72.8291
ACC002,TRIP001,2024-02-06 06:45:30,30,0.8,0.3,9.7,25,19.1289,72.8312
ACC003,TRIP001,2024-02-06 06:46:00,60,1.2,0.5,9.6,38,19.1245,72.8345
ACC004,TRIP001,2024-02-06 06:46:30,90,0.4,0.2,9.7,42,19.1198,72.8378
ACC005,TRIP001,2024-02-06 06:55:00,600,0.3,0.1,9.8,45,19.0698,72.8512
ACC006,TRIP001,2024-02-06 07:02:30,1050,2.1,1.2,8.9,18,19.0596,72.8656
ACC007,TRIP001,2024-02-06 07:03:00,1080,0.2,0.1,9.8,0,19.0596,72.8656
ACC008,TRIP002,2024-02-06 07:15:00,0,0.3,0.2,9.8,0,19.0596,72.8656
ACC009,TRIP002,2024-02-06 07:15:30,30,1.1,0.6,9.5,32,19.0545,72.8678
ACC010,TRIP002,2024-02-06 07:16:00,60,0.5,0.3,9.7,48,19.0489,72.8702
ACC011,TRIP002,2024-02-06 07:22:00,420,4.2,3.1,7.2,28,19.0123,72.8889
ACC012,TRIP002,2024-02-06 07:22:30,450,5.8,4.3,5.9,12,19.0098,72.8912
ACC013,TRIP002,2024-02-06 07:23:00,480,6.2,5.1,5.1,5,19.0078,72.8934
ACC014,TRIP002,2024-02-06 07:23:30,510,3.8,2.9,7.8,18,19.0056,72.8956
ACC015,TRIP002,2024-02-06 07:24:00,540,2.1,1.5,8.9,32,19.0034,72.8978
ACC016,TRIP002,2024-02-06 07:30:00,900,0.4,0.2,9.7,52,18.9856,72.9123
ACC017,TRIP002,2024-02-06 07:37:30,1350,1.8,1.2,9.1,15,18.9812,72.8234
ACC018,TRIP002,2024-02-06 07:38:00,1380,0.2,0.1,9.8,0,18.9801,72.8223
ACC019,TRIP003,2024-02-06 07:52:00,0,0.3,0.2,9.8,0,18.9801,72.8223
ACC020,TRIP003,2024-02-06 07:52:30,30,0.9,0.4,9.6,28,18.9823,72.8245
ACC021,TRIP003,2024-02-06 08:00:00,480,0.5,0.3,9.7,55,19.0234,72.8456
ACC022,TRIP003,2024-02-06 08:08:00,960,0.4,0.2,9.7,48,19.0789,72.8612
ACC023,TRIP003,2024-02-06 08:14:30,1350,1.6,1.0,9.2,22,19.1123,72.8712
ACC024,TRIP003,2024-02-06 08:15:00,1380,0.2,0.1,9.8,0,19.1156,72.8734
ACC025,TRIP008,2024-02-06 17:30:00,0,0.3,0.2,9.8,0,12.9698,77.7500
ACC026,TRIP008,2024-02-06 17:30:30,30,1.2,0.7,9.5,35,12.9656,77.7478
ACC027,TRIP008,2024-02-06 17:38:00,480,0.6,0.3,9.6,58,12.9523,77.7123
ACC028,TRIP008,2024-02-06 17:45:00,900,0.5,0.2,9.7,52,12.9389,77.6845
ACC029,TRIP008,2024-02-06 17:52:00,1320,0.4,0.2,9.7,48,12.9312,77.6612
ACC030,TRIP008,2024-02-06 17:57:30,1650,1.5,1.1,9.3,25,12.9789,77.6412
ACC031,TRIP008,2024-02-06 17:58:00,1680,0.2,0.1,9.8,0,12.9784,77.6408
ACC032,TRIP010,2024-02-06 19:05:00,0,0.3,0.2,9.8,0,12.9352,77.6245
ACC033,TRIP010,2024-02-06 19:05:30,30,1.4,0.8,9.4,38,12.9312,77.6212
ACC034,TRIP010,2024-02-06 19:15:00,600,0.6,0.3,9.6,62,12.8956,77.5823
ACC035,TRIP010,2024-02-06 19:22:00,1020,3.8,2.9,7.8,42,12.8712,77.5512
ACC036,TRIP010,2024-02-06 19:22:30,1050,5.2,4.1,6.3,22,12.8689,77.5489
ACC037,TRIP010,2024-02-06 19:23:00,1080,6.8,5.4,4.8,8,12.8667,77.5467
ACC038,TRIP010,2024-02-06 19:23:30,1110,4.5,3.6,7.1,15,12.8645,77.5445
ACC039,TRIP010,2024-02-06 19:24:00,1140,2.8,2.1,8.5,28,12.8623,77.5423
ACC040,TRIP010,2024-02-06 19:30:00,1500,0.5,0.3,9.7,55,12.8456,77.5234
ACC041,TRIP010,2024-02-06 19:34:30,1770,1.4,0.9,9.4,18,12.8406,77.2270
ACC042,TRIP010,2024-02-06 19:35:00,1800,0.2,0.1,9.8,0,12.8406,77.2270
ACC043,TRIP029,2024-02-06 06:01:01,61,0.4,0.5,9.3,35,28.6408,77.2422
ACC044,TRIP007,2024-02-06 06:07:31,451,1.4,0.6,9.6,48,28.6633,77.2471
ACC045,TRIP026,2024-02-06 06:05:18,318,0.7,1.6,8.6,24,19.1937,72.6236
ACC046,TRIP004,2024-02-06 06:27:32,1652,0.2,1.0,8.7,59,12.8539,77.5134
ACC047,TRIP013,2024-02-06 06:21:06,1266,2.7,0.8,8.7,4,19.1879,72.6432
ACC048,TRIP002,2024-02-06 06:02:43,163,2.6,1.7,9.0,29,28.6464,77.2369
ACC049,TRIP021,2024-02-06 06:22:52,1372,0.9,1.9,9.3,38,12.8265,77.5035
ACC050,TRIP021,2024-02-06 06:15:46,946,1.2,2.0,9.3,35,19.1871,72.6198
ACC051,TRIP008,2024-02-06 06:01:54,114,0.8,0.2,8.9,17,28.6503,77.2561
ACC052,TRIP003,2024-02-06 06:24:30,1470,1.0,1.3,9.0,58,19.2023,72.6327
ACC053,TRIP021,2024-02-06 06:25:25,1525,1.7,0.6,9.3,57,12.8257,77.4949
ACC054,TRIP019,2024-02-06 06:04:43,283,1.6,0.3,8.6,7,12.8345,77.5292
ACC055,TRIP005,2024-02-06 06:20:21,1221,0.3,0.8,9.8,33,28.6437,77.2526
ACC056,TRIP009,2024-02-06 06:24:36,1476,0.4,1.8,9.5,49,28.6717,77.2258
ACC057,TRIP021,2024-02-06 06:15:29,929,0.1,1.5,9.4,32,12.8245,77.5067
ACC058,TRIP025,2024-02-06 06:21:20,1280,1.0,1.3,9.3,9,19.1861,72.6143
ACC059,TRIP012,2024-02-06 06:18:06,1086,2.8,1.2,9.1,7,19.1873,72.6411
ACC060,TRIP030,2024-02-06 06:10:29,629,0.8,0.6,9.2,5,12.8552,77.5226
ACC061,TRIP003,2024-02-06 06:25:57,1557,1.6,0.3,9.4,60,28.6567,77.2281
ACC062,TRIP018,2024-02-06 06:14:26,866,2.9,1.9,9.5,44,19.1764,72.6449
ACC063,TRIP007,2024-02-06 06:22:10,1330,1.2,1.8,9.1,15,28.6498,77.2651
ACC064,TRIP008,2024-02-06 06:07:51,471,1.8,0.1,9.4,3,19.1793,72.6335
ACC065,TRIP008,2024-02-06 06:02:25,145,1.6,0.6,9.1,34,19.202,72.6444
ACC066,TRIP005,2024-02-06 06:16:08,968,0.8,1.0,9.0,6,28.6747,77.2482
ACC067,TRIP004,2024-02-06 06:15:56,956,2.6,0.2,9.3,41,28.6545,77.2423
ACC068,TRIP004,2024-02-06 06:29:24,1764,0.4,0.5,9.2,8,19.1819,72.6236
ACC069,TRIP014,2024-02-06 06:02:34,154,1.4,1.7,9.2,3,19.1769,72.62
ACC070,TRIP021,2024-02-06 06:25:43,1543,2.6,0.4,9.1,13,28.6707,77.2641
ACC071,TRIP028,2024-02-06 06:00:04,4,3.0,0.6,9.5,29,12.8561,77.4959
ACC072,TRIP010,2024-02-06 06:26:44,1604,1.7,1.5,8.7,18,12.8479,77.5185
ACC073,TRIP007,2024-02-06 06:25:31,1531,1.0,0.2,9.1,58,19.1889,72.6317
ACC074,TRIP028,2024-02-06 06:02:44,164,2.6,0.2,8.6,55,28.6436,77.2638
ACC075,TRIP008,2024-02-06 06:08:24,504,1.8,0.2,8.6,42,12.8248,77.5249
ACC076,TRIP019,2024-02-06 06:06:58,418,2.0,0.7,8.8,8,28.6582,77.2627
ACC077,TRIP022,2024-02-06 06:25:39,1539,2.8,0.1,9.3,36,28.6493,77.238
ACC078,TRIP004,2024-02-06 06:04:31,271,2.8,1.8,9.6,23,19.1873,72.6302
ACC079,TRIP010,2024-02-06 06:10:19,619,1.9,2.0,9.4,0,19.1833,72.6317
ACC080,TRIP022,2024-02-06 06:29:58,1798,0.5,0.3,8.6,35,28.6493,77.2519
ACC081,TRIP005,2024-02-06 06:11:42,702,0.7,1.3,8.8,31,12.8313,77.4977
ACC082,TRIP009,2024-02-06 06:09:26,566,0.2,0.7,8.7,16,19.1695,72.6269
ACC083,TRIP006,2024-02-06 06:19:08,1148,0.1,0.2,9.6,57,28.655,77.2536
ACC084,TRIP005,2024-02-06 06:18:51,1131,0.5,0.3,8.9,57,28.6387,77.2401
ACC085,TRIP030,2024-02-06 06:08:31,511,2.0,0.8,9.2,55,19.2017,72.6184
ACC086,TRIP014,2024-02-06 06:08:04,484,2.6,2.0,9.6,56,28.6673,77.2624
ACC087,TRIP014,2024-02-06 06:26:42,1602,2.8,1.6,9.6,51,19.1729,72.647
ACC088,TRIP008,2024-02-06 06:13:03,783,2.6,1.7,8.8,52,12.8264,77.5173
ACC089,TRIP030,2024-02-06 06:29:44,1784,0.8,0.1,8.8,21,12.834,77.5221
ACC090,TRIP009,2024-02-06 06:21:53,1313,1.6,1.4,9.6,21,19.2044,72.6212
ACC091,TRIP001,2024-02-06 06:19:49,1189,2.9,0.6,8.6,27,19.2009,72.6205
ACC092,TRIP012,2024-02-06 06:17:27,1047,0.4,1.8,8.7,2,28.6688,77.2428
ACC093,TRIP023,2024-02-06 06:18:22,1102,2.1,1.9,9.5,12,12.8201,77.5263
ACC094,TRIP012,2024-02-06 06:11:16,676,1.9,1.4,8.7,57,12.8228,77.5159
ACC095,TRIP010,2024-02-06 06:13:44,824,2.1,1.2,8.7,42,28.6497,77.2417
ACC096,TRIP013,2024-02-06 06:19:25,1165,1.0,1.1,8.5,18,28.6672,77.2323
ACC097,TRIP007,2024-02-06 06:10:59,659,1.4,0.9,8.8,30,12.8514,77.5136
ACC098,TRIP026,2024-02-06 06:17:35,1055,2.0,1.3,8.6,60,28.6441,77.2287
ACC099,TRIP025,2024-02-06 06:06:47,407,0.5,0.2,9.8,39,19.1927,72.619
ACC100,TRIP028,2024-02-06 06:19:38,1178,0.7,1.4,9.1,15,19.184,72.6454
ACC101,TRIP005,2024-02-06 06:29:22,1762,2.3,0.3,9.1,11,28.6648,77.261
ACC102,TRIP026,2024-02-06 06:08:30,510,2.8,0.3,8.7,29,28.658,77.2273
ACC103,TRIP022,2024-02-06 06:25:46,1546,2.7,1.3,9.4,32,28.6768,77.2492
ACC104,TRIP014,2024-02-06 06:29:24,1764,1.5,0.6,8.8,40,28.6551,77.2317
ACC105,TRIP009,2024-02-06 06:15:00,900,0.3,0.6,8.9,20,28.6567,77.2349
ACC106,TRIP029,2024-02-06 06:13:04,784,2.1,1.4,8.6,26,28.6405,77.2314
ACC107,TRIP011,2024-02-06 06:28:25,1705,1.3,1.8,9.3,44,28.6559,77.2278
ACC108,TRIP001,2024-02-06 06:12:00,720,1.0,0.8,9.7,53,28.6525,77.2256
ACC109,TRIP014,2024-02-06 06:20:35,1235,2.7,1.0,8.9,31,28.6672,77.2472
ACC110,TRIP001,2024-02-06 06:13:48,828,2.2,1.7,9.7,39,12.8335,77.5164
ACC111,TRIP018,2024-02-06 06:22:37,1357,0.2,1.3,8.7,29,19.202,72.6337
ACC112,TRIP006,2024-02-06 06:15:31,931,1.0,1.5,9.0,48,19.1762,72.6231
ACC113,TRIP027,2024-02-06 06:00:39,39,2.3,0.2,9.7,14,12.8301,77.4926
ACC114,TRIP021,2024-02-06 06:25:44,1544,0.2,0.6,9.6,39,19.197,72.6361
ACC115,TRIP005,2024-02-06 06:19:15,1155,2.8,1.0,8.8,23,19.1708,72.6368
ACC116,TRIP006,2024-02-06 06:03:54,234,2.4,0.4,8.9,37,28.6616,77.2553
ACC117,TRIP001,2024-02-06 06:12:48,768,1.3,1.5,8.6,44,12.843,77.5256
ACC118,TRIP027,2024-02-06 06:10:17,617,2.6,1.2,8.7,36,28.647,77.2532
ACC119,TRIP026,2024-02-06 06:12:38,758,0.3,1.3,8.5,26,19.1797,72.6271
ACC120,TRIP027,2024-02-06 06:21:41,1301,2.7,1.0,8.7,11,12.8242,77.5277
ACC121,TRIP024,2024-02-06 06:27:35,1655,2.8,1.6,9.1,52,28.6759,77.2361
ACC122,TRIP024,2024-02-06 06:28:21,1701,2.8,0.6,9.1,48,28.648,77.2594
ACC123,TRIP015,2024-02-06 06:00:58,58,1.5,0.7,9.1,22,28.6617,77.2405
ACC124,TRIP026,2024-02-06 06:23:56,1436,2.7,1.2,9.2,12,12.8336,77.5245
ACC125,TRIP003,2024-02-06 06:25:52,1552,0.8,1.0,9.4,28,19.1946,72.6295
ACC126,TRIP026,2024-02-06 06:23:36,1416,0.8,1.4,9.0,35,19.1695,72.6189
ACC127,TRIP017,2024-02-06 06:11:17,677,1.1,1.0,8.9,14,12.837,77.5191
ACC128,TRIP004,2024-02-06 06:18:17,1097,2.9,1.4,8.7,47,28.645,77.2301
ACC129,TRIP016,2024-02-06 06:17:54,1074,1.8,2.0,9.6,18,12.849,77.5283
ACC130,TRIP008,2024-02-06 06:18:13,1093,0.5,0.2,8.6,18,12.8272,77.4899
ACC131,TRIP023,2024-02-06 06:03:30,210,2.6,1.2,9.1,28,19.1913,72.6401
ACC132,TRIP011,2024-02-06 06:29:24,1764,1.5,1.7,9.0,4,19.2044,72.6201
ACC133,TRIP019,2024-02-06 06:27:41,1661,1.7,0.7,9.8,7,28.6648,77.2314
ACC134,TRIP018,2024-02-06 06:07:42,462,2.3,0.8,9.7,19,12.8443,77.5209
ACC135,TRIP028,2024-02-06 06:21:11,1271,0.3,1.9,8.6,48,28.6769,77.2376
ACC136,TRIP007,2024-02-06 06:05:21,321,0.8,1.1,8.7,26,28.6457,77.2518
ACC137,TRIP015,2024-02-06 06:07:54,474,0.9,0.6,9.6,4,28.661,77.237
ACC138,TRIP022,2024-02-06 06:21:20,1280,1.8,1.6,8.8,7,19.2027,72.6415
ACC139,TRIP018,2024-02-06 06:28:12,1692,0.5,0.2,9.5,38,19.1917,72.6463
ACC140,TRIP024,2024-02-06 06:15:59,959,2.1,1.4,9.7,32,28.6741,77.2429
ACC141,TRIP018,2024-02-06 06:14:44,884,2.2,1.2,8.5,14,12.8375,77.5132
ACC142,TRIP022,2024-02-06 06:26:06,1566,2.0,0.6,8.6,48,28.6608,77.2262
ACC143,TRIP006,2024-02-06 06:09:29,569,0.6,1.2,9.3,31,12.8408,77.507
ACC144,TRIP003,2024-02-06 06:22:52,1372,0.4,0.4,9.0,31,12.8339,77.5026
ACC145,TRIP010,2024-02-06 06:18:46,1126,0.2,0.3,8.8,7,28.6751,77.2579
ACC146,TRIP025,2024-02-06 06:00:02,2,2.0,1.1,9.0,12,12.8546,77.5223
ACC147,TRIP017,2024-02-06 06:15:05,905,2.3,0.5,9.2,59,12.8449,77.5092
ACC148,TRIP010,2024-02-06 06:00:59,59,2.9,1.3,8.8,10,12.8552,77.5087
ACC149,TRIP010,2024-02-06 06:07:40,460,3.0,1.8,9.1,7,28.6378,77.2417
ACC150,TRIP021,2024-02-06 06:17:22,1042,2.1,0.9,9.1,30,19.1857,72.6387
ACC151,TRIP008,2024-02-06 06:20:27,1227,1.6,1.8,9.6,17,12.8421,77.5046
ACC152,TRIP025,2024-02-06 06:09:07,547,2.5,0.6,8.9,37,12.8336,77.5208
ACC153,TRIP019,2024-02-06 06:18:23,1103,1.5,0.7,9.5,24,28.6569,77.2313
ACC154,TRIP015,2024-02-06 06:08:09,489,1.8,0.5,9.5,2,12.8548,77.5285
ACC155,TRIP011,2024-02-06 06:13:00,780,1.2,1.4,9.6,9,28.6562,77.2619
ACC156,TRIP016,2024-02-06 06:11:19,679,2.6,1.8,9.1,33,19.1708,72.6486
ACC157,TRIP030,2024-02-06 06:29:43,1783,2.0,0.4,9.1,16,12.8206,77.4951
ACC158,TRIP011,2024-02-06 06:29:04,1744,1.1,1.4,9.2,20,28.665,77.2513
ACC159,TRIP021,2024-02-06 06:18:28,1108,0.2,0.2,9.3,58,28.6728,77.2449
ACC160,TRIP010,2024-02-06 06:03:21,201,2.3,1.4,8.6,10,19.1956,72.6274
ACC161,TRIP023,2024-02-06 06:27:10,1630,0.3,0.8,9.1,15,12.8561,77.4911
ACC162,TRIP017,2024-02-06 06:05:48,348,0.6,1.3,9.0,43,12.8426,77.521
ACC163,TRIP008,2024-02-06 06:15:44,944,1.9,1.0,9.4,57,12.8565,77.495
ACC164,TRIP026,2024-02-06 06:05:23,323,0.3,1.9,9.8,19,12.8561,77.5164
ACC165,TRIP021,2024-02-06 06:10:18,618,0.7,0.8,9.1,15,12.8476,77.5076
ACC166,TRIP013,2024-02-06 06:23:52,1432,1.0,2.0,9.4,17,28.6517,77.2372
ACC167,TRIP001,2024-02-06 06:01:40,100,2.7,1.5,9.6,57,28.6719,77.2565
ACC168,TRIP010,2024-02-06 06:21:43,1303,0.7,0.6,9.5,49,19.1901,72.6241
ACC169,TRIP022,2024-02-06 06:21:25,1285,2.0,0.7,9.1,37,28.6708,77.2505
ACC170,TRIP012,2024-02-06 06:11:09,669,2.3,0.4,8.7,34,28.6426,77.2617
ACC171,TRIP029,2024-02-06 06:28:20,1700,0.6,1.8,9.7,51,12.8412,77.5258
ACC172,TRIP010,2024-02-06 06:15:59,959,2.9,0.4,9.8,55,28.6721,77.2575
ACC173,TRIP022,2024-02-06 06:28:52,1732,2.4,0.8,9.5,0,28.6643,77.2412
ACC174,TRIP009,2024-02-06 06:25:33,1533,2.0,1.2,9.6,60,28.6422,77.2401
ACC175,TRIP012,2024-02-06 06:21:08,1268,2.7,1.2,9.7,14,19.1928,72.6289
ACC176,TRIP021,2024-02-06 06:23:55,1435,1.0,0.9,8.7,60,19.1912,72.6286
ACC177,TRIP002,2024-02-06 06:08:00,480,2.7,0.4,9.1,42,12.8598,77.4939
ACC178,TRIP024,2024-02-06 06:25:20,1520,2.2,1.8,9.4,53,28.6751,77.2421
ACC179,TRIP016,2024-02-06 06:01:07,67,2.1,0.5,9.1,15,28.6536,77.2634
ACC180,TRIP028,2024-02-06 06:18:35,1115,2.7,1.3,8.6,17,12.824,77.5167
ACC181,TRIP007,2024-02-06 06:03:07,187,2.0,1.3,9.3,1,19.2037,72.643
ACC182,TRIP002,2024-02-06 06:19:16,1156,0.7,1.7,9.2,37,12.8298,77.4943
ACC183,TRIP007,2024-02-06 06:20:20,1220,0.1,1.7,8.7,8,19.1789,72.6159
ACC184,TRIP018,2024-02-06 06:29:34,1774,0.2,0.1,9.5,15,12.852,77.4937
ACC185,TRIP019,2024-02-06 06:04:19,259,2.3,1.1,9.5,30,12.8206,77.4999
ACC186,TRIP015,2024-02-06 06:17:11,1031,0.7,1.3,9.4,58,12.8405,77.4936
ACC187,TRIP028,2024-02-06 06:01:03,63,0.3,1.0,9.0,43,28.6582,77.2437
ACC188,TRIP004,2024-02-06 06:02:45,165,1.0,0.4,8.7,39,12.8485,77.507
ACC189,TRIP021,2024-02-06 06:20:23,1223,1.6,1.0,9.3,6,28.6592,77.2383
ACC190,TRIP026,2024-02-06 06:29:57,1797,2.3,1.5,8.8,28,28.6419,77.2515
ACC191,TRIP029,2024-02-06 06:13:36,816,1.3,0.3,9.1,42,19.1823,72.6431
ACC192,TRIP009,2024-02-06 06:16:11,971,0.3,1.7,8.6,6,12.8582,77.5168
ACC193,TRIP024,2024-02-06 06:02:02,122,1.8,1.2,8.9,7,28.6522,77.2305
ACC194,TRIP014,2024-02-06 06:14:26,866,2.6,1.5,9.8,38,12.855,77.5269
ACC195,TRIP010,2024-02-06 06:05:16,316,2.0,0.5,8.6,54,12.8242,77.5096
ACC196,TRIP018,2024-02-06 06:07:43,463,2.4,1.7,9.8,52,12.8246,77.5004
ACC197,TRIP020,2024-02-06 06:20:47,1247,2.8,1.7,8.8,11,28.6643,77.2476
ACC198,TRIP009,2024-02-06 06:11:58,718,0.1,1.8,9.2,25,28.6678,77.2622
ACC199,TRIP003,2024-02-06 06:03:07,187,2.3,0.5,9.0,21,19.1954,72.6489
ACC200,TRIP006,2024-02-06 06:19:22,1162,1.8,1.8,8.7,48,12.8325,77.5023
ACC201,TRIP020,2024-02-06 06:22:35,1355,1.3,1.3,9.0,13,19.1927,72.6209
ACC202,TRIP025,2024-02-06 06:09:40,580,2.1,1.2,9.2,19,28.6418,77.2425
ACC203,TRIP002,2024-02-06 06:00:15,15,0.7,1.9,9.5,48,19.1816,72.634
ACC204,TRIP009,2024-02-06 06:25:29,1529,1.3,0.3,9.2,14,12.8331,77.4896
ACC205,TRIP017,2024-02-06 06:02:27,147,1.3,1.5,9.1,29,28.6706,77.2576
ACC206,TRIP030,2024-02-06 06:19:34,1174,1.3,1.3,8.9,25,19.2003,72.633
ACC207,TRIP001,2024-02-06 06:15:42,942,2.5,1.8,8.6,54,12.8269,77.5272
ACC208,TRIP004,2024-02-06 06:02:41,161,1.2,0.7,8.9,21,19.1832,72.626
ACC209,TRIP025,2024-02-06 06:18:06,1086,1.6,1.8,9.0,46,19.1688,72.6353
ACC210,TRIP027,2024-02-06 06:04:59,299,0.8,0.4,8.7,48,28.6699,77.2348
ACC211,TRIP021,2024-02-06 06:16:51,1011,1.4,1.2,9.3,43,19.1729,72.6409
ACC212,TRIP030,2024-02-06 06:11:01,661,2.6,1.3,8.7,4,28.663,77.2648
ACC213,TRIP016,2024-02-06 06:20:11,1211,0.3,1.1,8.9,28,12.8453,77.5211
ACC214,TRIP002,2024-02-06 06:22:00,1320,2.6,1.7,9.3,32,19.1805,72.6215
ACC215,TRIP013,2024-02-06 06:25:13,1513,2.7,1.0,9.6,41,12.8432,77.5275
ACC216,TRIP007,2024-02-06 06:02:06,126,1.4,1.6,9.6,45,12.8442,77.5093
ACC217,TRIP003,2024-02-06 06:24:09,1449,1.4,0.9,9.2,10,28.6631,77.2269
ACC218,TRIP012,2024-02-06 06:26:26,1586,1.1,1.2,9.5,41,12.8567,77.5048
ACC219,TRIP011,2024-02-06 06:13:11,791,0.9,1.5,9.4,58,19.179,72.6323
ACC220,TRIP020,2024-02-06 06:04:49,289,2.8,0.7,9.4,42,19.1791,72.6333
ACC221,TRIP013,2024-02-06 06:10:34,634,1.7,1.3,8.9,8,19.1896,72.6475
ACC222,TRIP022,2024-02-06 06:23:23,1403,2.7,0.3,9.4,32,28.6705,77.2549
ACC223,TRIP012,2024-02-06 06:07:18,438,1.1,1.6,8.7,8,19.1803,72.6172
ACC224,TRIP005,2024-02-06 06:17:19,1039,2.3,1.7,9.6,2,19.1776,72.6415
ACC225,TRIP022,2024-02-06 06:20:23,1223,1.2,0.4,9.6,49,12.8551,77.514
ACC226,TRIP020,2024-02-06 06:12:26,746,2.1,0.6,9.1,18,19.1946,72.6118
ACC227,TRIP025,2024-02-06 06:08:09,489,1.0,1.6,9.1,53,28.6686,77.2347
ACC228,TRIP007,2024-02-06 06:15:02,902,1.4,0.6,9.0,33,12.8471,77.5121
ACC229,TRIP014,2024-02-06 06:04:43,283,2.6,0.2,9.1,23,19.1984,72.6421
ACC230,TRIP018,2024-02-06 06:04:15,255,0.9,1.5,8.9,57,19.1942,72.6306
ACC231,TRIP017,2024-02-06 06:07:34,454,2.5,1.8,9.7,26,19.199,72.6137
ACC232,TRIP002,2024-02-06 06:02:47,167,1.2,0.2,9.7,53,12.8401,77.4987
ACC233,TRIP023,2024-02-06 06:01:18,78,0.9,1.7,9.4,8,28.6507,77.2312
ACC234,TRIP025,2024-02-06 06:02:42,162,0.2,0.5,8.7,60,28.6561,77.25
ACC235,TRIP024,2024-02-06 06:09:50,590,0.8,0.3,8.8,40,28.6584,77.2298
ACC236,TRIP026,2024-02-06 06:17:03,1023,1.8,0.1,9.2,15,28.6556,77.2298
ACC237,TRIP023,2024-02-06 06:12:02,722,0.8,0.9,9.4,5,19.1774,72.6101
ACC238,TRIP017,2024-02-06 06:17:19,1039,2.4,1.1,8.5,55,12.8227,77.5103
ACC239,TRIP016,2024-02-06 06:08:39,519,2.3,0.8,8.6,15,19.1912,72.6492
ACC240,TRIP024,2024-02-06 06:25:05,1505,2.3,0.4,9.0,21,28.6624,77.2562
ACC241,TRIP027,2024-02-06 06:15:51,951,2.9,1.0,8.7,8,28.6443,77.2565
ACC242,TRIP003,2024-02-06 06:10:00,600,0.7,1.6,9.7,20,28.6683,77.2436
ACC243,TRIP030,2024-02-06 06:18:32,1112,1.5,0.2,9.3,18,12.8406,77.5288
